id,text,kw_call,kw_now,kw_free,kw_text,kw_txt,kw_mobile,kw_new,kw_min,kw_reply,kw_send,kw_stop,kw_www,label
s60,"1.20 that call cost. Which i guess isnt bad. Miss ya, need ya, want ya, love ya",yes,no,no,no,no,no,no,no,no,no,no,no,ham
s61,"FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk",no,no,yes,no,yes,no,no,no,no,no,no,no,spam
s62,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,no,yes,no,no,no,no,no,no,no,yes,no,no,spam
s63,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins",yes,yes,no,no,no,no,no,no,no,no,no,no,spam
s64,Babe: U want me dont u baby! Im nasty and have a thing 4 filthyguys. Fancy a rude time with a sexy bitch. How about we go slo n hard! Txt XXX SLO(4msgs),no,no,no,no,yes,no,no,no,no,no,no,no,spam
s65,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,no,no,yes,no,yes,yes,no,no,no,no,no,yes,spam
s66,U’ve Bin Awarded £50 to Play 4 Instant Cash. Call 08715203028 To Claim. EVERY 9th Player Wins Min £50-£500. OptOut 08718727870,yes,no,no,no,no,no,no,yes,no,no,no,no,spam
s67,Doing my masters. When will you buy a bb cos i have for sale and how's bf,no,no,no,no,no,no,no,no,no,no,no,no,ham
s68,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",no,no,no,yes,no,no,no,no,no,no,no,no,spam
s69,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",no,no,no,no,no,no,no,no,no,yes,no,no,spam
s70,I am in a marriage function,no,no,no,no,no,no,no,no,no,no,no,no,ham
s71,"accordingly. I repeat, just text the word ok on your mobile phone and send",no,no,no,yes,no,yes,no,no,no,yes,no,no,spam
s72,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,yes,yes,no,yes,no,no,yes,no,yes,no,no,no,spam
s73,And do you have any one that can teach me how to ship cars.,no,no,no,no,no,no,no,no,no,no,no,no,ham
s74,"Height of 'Oh shit....!!' situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay,.;-):-D",no,no,no,no,no,no,no,no,no,no,no,no,ham
s75,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas",no,no,no,no,no,no,no,no,no,no,no,no,ham
s76,You have 1 new message. Call 0207-083-6089,yes,no,no,no,no,no,yes,no,no,no,no,no,spam
s77,+123 Congratulations - in this week's competition draw u have won the £1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,yes,no,no,no,no,no,no,no,no,no,yes,no,spam
s78,I'll be at mu in like  &lt;#&gt;  seconds,no,no,no,no,no,no,no,no,no,no,no,no,ham
s79,Haha... Really oh no... How? Then will they deduct your lesson tmr?,no,no,no,no,no,no,no,no,no,no,no,no,ham
s80,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324,yes,no,no,no,no,no,no,yes,no,no,yes,no,spam
